GEO;AGE;Year;Sex;PovertyRate
European Union - 28 countries (2013-2020);From 16 to 24 years;2014;Males;
European Union - 28 countries (2013-2020);From 16 to 29 years;2014;Males;
European Union - 28 countries (2013-2020);From 16 to 64 years;2014;Males;
European Union - 28 countries (2013-2020);16 years or over;2014;Males;
European Union - 28 countries (2013-2020);Less than 18 years;2014;Males;
European Union - 28 countries (2013-2020);From 18 to 24 years;2014;Males;
European Union - 28 countries (2013-2020);From 18 to 59 years;2014;Males;
European Union - 28 countries (2013-2020);From 18 to 64 years;2014;Males;
European Union - 28 countries (2013-2020);From 18 to 74 years;2014;Males;
European Union - 28 countries (2013-2020);18 years or over;2014;Males;
European Union - 28 countries (2013-2020);From 20 to 24 years;2014;Males;
European Union - 28 countries (2013-2020);From 20 to 29 years;2014;Males;
European Union - 28 countries (2013-2020);From 25 to 29 years;2014;Males;
European Union - 28 countries (2013-2020);From 25 to 34 years;2014;Males;
European Union - 28 countries (2013-2020);From 25 to 49 years;2014;Males;
European Union - 28 countries (2013-2020);From 25 to 54 years;2014;Males;
European Union - 28 countries (2013-2020);From 25 to 59 years;2014;Males;
European Union - 28 countries (2013-2020);From 35 to 44 years;2014;Males;
European Union - 28 countries (2013-2020);From 45 to 54 years;2014;Males;
European Union - 28 countries (2013-2020);From 50 to 64 years;2014;Males;
European Union - 28 countries (2013-2020);From 55 to 64 years;2014;Males;
European Union - 28 countries (2013-2020);55 years or over;2014;Males;
European Union - 28 countries (2013-2020);Less than 60 years;2014;Males;
European Union - 28 countries (2013-2020);60 years or over;2014;Males;
European Union - 28 countries (2013-2020);Less than 65 years;2014;Males;
European Union - 28 countries (2013-2020);From 65 to 74 years;2014;Males;
European Union - 28 countries (2013-2020);65 years or over;2014;Males;
European Union - 28 countries (2013-2020);Less than 75 years;2014;Males;
European Union - 28 countries (2013-2020);75 years or over;2014;Males;
European Union - 28 countries (2013-2020);85 years or over;2014;Males;
European Union - 27 countries (2007-2013);Less than 6 years;2014;Males;
European Union - 27 countries (2007-2013);From 6 to 10 years;2014;Males;
European Union - 27 countries (2007-2013);From 6 to 11 years;2014;Males;
European Union - 27 countries (2007-2013);From 11 to 15 years;2014;Males;
European Union - 27 countries (2007-2013);From 12 to 17 years;2014;Males;
European Union - 27 countries (2007-2013);From 15 to 19 years;2014;Males;
European Union - 27 countries (2007-2013);From 15 to 24 years;2014;Males;
European Union - 27 countries (2007-2013);From 15 to 29 years;2014;Males;
European Union - 27 countries (2007-2013);Less than 16 years;2014;Males;
European Union - 27 countries (2007-2013);From 16 to 19 years;2014;Males;
European Union - 27 countries (2007-2013);From 16 to 24 years;2014;Males;
European Union - 27 countries (2007-2013);From 16 to 29 years;2014;Males;
European Union - 27 countries (2007-2013);From 16 to 64 years;2014;Males;
European Union - 27 countries (2007-2013);16 years or over;2014;Males;
European Union - 27 countries (2007-2013);Less than 18 years;2014;Males;
European Union - 27 countries (2007-2013);From 18 to 24 years;2014;Males;
European Union - 27 countries (2007-2013);From 18 to 59 years;2014;Males;
European Union - 27 countries (2007-2013);From 18 to 64 years;2014;Males;
European Union - 27 countries (2007-2013);From 18 to 74 years;2014;Males;
European Union - 27 countries (2007-2013);18 years or over;2014;Males;
European Union - 27 countries (2007-2013);From 20 to 24 years;2014;Males;
European Union - 27 countries (2007-2013);From 20 to 29 years;2014;Males;
